Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.067	0.22	8.69	0.01	7.65
0.159	0.21	8.67	-0.03	7.61
0.248	0.19	8.66	0.06	7.69
0.338	0.19	8.65	-0.07	7.57
0.428	0.18	8.65	0.04	7.67
0.518	0.18	8.64	-0.04	7.60
0.608	0.16	8.63	-0.03	7.60
0.698	0.16	8.63	0.06	7.69
0.833	0.16	8.63	0.02	7.65
0.928	0.16	8.62	0.04	7.67
1.018	0.15	8.62	-0.03	7.60
1.108	0.15	8.62	-0.04	7.59
1.198	0.15	8.62	0.06	7.70
1.288	0.16	8.62	-0.06	7.57
1.378	0.15	8.62	0.03	7.67
1.468	0.16	8.63	-0.02	7.61
1.558	0.16	8.63	-0.05	7.59
1.648	0.16	8.63	0.06	7.70
1.767	0.15	8.62	-0.02	7.62
1.859	0.16	8.63	-0.00	7.63
1.949	0.16	8.63	0.05	7.69
2.039	0.16	8.63	-0.07	7.57
2.129	0.16	8.63	0.04	7.68
2.218	0.16	8.63	-0.04	7.59
2.308	0.16	8.63	-0.01	7.63
2.398	0.16	8.63	0.05	7.68
2.488	0.16	8.63	-0.07	7.57
2.578	0.16	8.63	0.05	7.68
2.668	0.16	8.62	-0.04	7.59
2.758	0.16	8.63	-0.01	7.62
2.848	0.15	8.62	0.05	7.69
2.938	0.15	8.62	-0.07	7.56
3.028	0.15	8.62	0.04	7.68
3.118	0.15	8.62	-0.04	7.60
3.208	0.15	8.62	-0.01	7.62
3.298	0.15	8.61	0.05	7.69
3.388	0.15	8.62	-0.07	7.57
3.519	0.13	8.59	-0.04	7.59
3.608	0.14	8.61	-0.02	7.62
3.698	0.15	8.61	0.05	7.68
3.788	0.14	8.60	-0.07	7.57
3.877	0.14	8.61	0.05	7.69
3.967	0.14	8.61	-0.04	7.60
4.057	0.13	8.60	-0.02	7.62
4.147	0.14	8.61	0.05	7.69
4.250	0.14	8.60	-0.03	7.61
4.346	0.13	8.60	0.06	7.70
4.436	0.14	8.61	-0.06	7.58
4.526	0.13	8.60	0.03	7.67
4.616	0.14	8.60	-0.01	7.63
4.712	0.13	8.60	0.06	7.69
4.806	0.13	8.60	-0.06	7.58
4.896	0.13	8.60	0.06	7.70
4.986	0.13	8.60	-0.06	7.58
5.076	0.13	8.60	0.03	7.67
5.166	0.13	8.59	-0.02	7.62
5.297	0.11	8.57	0.05	7.69
5.387	0.13	8.59	-0.07	7.57
5.477	0.13	8.59	0.04	7.68
5.567	0.12	8.59	-0.04	7.60
5.656	0.13	8.59	-0.02	7.62
5.746	0.12	8.59	0.05	7.69
5.836	0.12	8.59	-0.07	7.57
5.939	0.13	8.59	-0.05	7.58
6.035	0.13	8.59	-0.06	7.57
6.125	0.12	8.59	0.03	7.67
6.215	0.13	8.59	-0.01	7.63
6.305	0.12	8.59	-0.06	7.58
6.395	0.12	8.59	0.06	7.70
6.485	0.13	8.59	-0.06	7.58
6.575	0.12	8.59	0.03	7.67
6.665	0.12	8.59	-0.01	7.62
6.755	0.12	8.59	-0.06	7.58
6.845	0.12	8.59	0.06	7.70
6.935	0.12	8.59	-0.06	7.57
7.054	0.10	8.57	-0.06	7.58
7.146	0.12	8.59	0.05	7.69
7.236	0.12	8.58	-0.07	7.57
7.326	0.12	8.59	0.04	7.68
7.415	0.12	8.59	-0.04	7.59
7.505	0.11	8.58	-0.00	7.63
7.595	0.12	8.58	0.05	7.69
7.685	0.12	8.58	-0.07	7.57
7.775	0.11	8.58	0.05	7.69
7.865	0.12	8.59	-0.04	7.59
