Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.000	0.01	8.55	0.00	7.69
0.030	-0.02	8.53	0.05	7.74
0.052	0.00	8.55	-0.06	7.63
0.082	0.01	8.55	-0.07	7.63
0.104	-0.00	8.54	0.02	7.72
0.127	-0.02	8.53	-0.03	7.66
0.149	-0.02	8.53	-0.05	7.64
0.171	0.00	8.55	0.05	7.75
0.194	0.01	8.55	-0.06	7.63
0.216	-0.00	8.54	0.02	7.72
0.239	0.00	8.55	-0.02	7.67
0.262	0.00	8.55	-0.06	7.64
0.284	0.01	8.55	0.05	7.75
0.307	-0.00	8.54	-0.06	7.63
0.330	-0.01	8.54	0.02	7.72
0.352	-0.00	8.54	-0.05	7.64
0.373	0.00	8.55	-0.06	7.64
0.396	0.01	8.55	0.05	7.74
0.419	0.00	8.55	-0.06	7.63
0.441	0.00	8.55	0.02	7.72
0.464	-0.00	8.54	-0.03	7.67
0.496	-0.00	8.54	0.02	7.72
0.523	0.00	8.55	-0.07	7.63
0.545	0.01	8.55	0.02	7.72
0.568	0.01	8.55	-0.03	7.66
0.591	-0.01	8.54	-0.05	7.64
0.613	0.01	8.55	0.05	7.75
0.636	0.00	8.55	-0.07	7.63
0.659	0.00	8.55	0.02	7.72
0.681	0.01	8.55	-0.03	7.66
0.704	-0.00	8.54	-0.05	7.65
0.726	0.01	8.55	0.04	7.74
0.749	-0.00	8.54	-0.06	7.63
0.771	0.00	8.55	0.02	7.72
0.794	0.01	8.55	-0.05	7.65
0.816	-0.00	8.54	-0.05	7.64
0.838	0.00	8.55	-0.07	7.62
0.862	0.00	8.55	0.04	7.74
0.885	-0.00	8.54	-0.07	7.62
0.907	0.01	8.56	0.03	7.72
0.930	-0.00	8.54	-0.04	7.65
0.953	0.01	8.55	-0.05	7.65
0.975	0.01	8.55	0.05	7.74
0.998	-0.02	8.53	-0.07	7.63
1.020	0.01	8.55	0.03	7.72
1.043	0.00	8.55	-0.04	7.66
1.065	0.00	8.55	-0.04	7.65
1.088	0.01	8.55	0.04	7.74
1.110	-0.00	8.54	-0.06	7.63
1.133	0.01	8.55	0.03	7.72
1.156	0.00	8.55	-0.04	7.66
1.178	0.01	8.55	-0.04	7.65
1.201	-0.01	8.53	0.04	7.74
1.223	-0.00	8.54	-0.07	7.62
1.246	0.01	8.55	0.04	7.73
1.274	-0.01	8.53	0.03	7.73
1.297	0.01	8.55	-0.04	7.65
1.319	0.00	8.55	-0.04	7.65
1.341	0.00	8.55	0.05	7.74
1.364	0.01	8.56	-0.07	7.62
1.386	0.00	8.55	0.04	7.73
1.409	0.01	8.55	-0.05	7.65
1.431	0.00	8.55	-0.04	7.66
1.454	-0.00	8.54	0.00	7.70
1.475	0.01	8.55	-0.07	7.63
1.497	0.00	8.55	0.03	7.73
1.520	0.01	8.55	-0.05	7.65
1.543	0.01	8.55	-0.03	7.66
1.565	0.00	8.55	0.05	7.74
1.588	-0.00	8.54	-0.07	7.62
1.611	0.01	8.56	0.04	7.73
1.633	0.00	8.55	-0.05	7.65
1.656	0.01	8.56	-0.03	7.66
1.678	0.01	8.55	0.04	7.74
1.701	0.00	8.55	-0.07	7.62
1.724	0.01	8.56	0.03	7.73
1.746	0.00	8.55	-0.04	7.65
1.769	0.01	8.56	-0.02	7.67
1.792	0.01	8.55	0.04	7.74
1.815	-0.00	8.54	-0.07	7.63
1.837	0.01	8.56	0.04	7.73
1.859	0.00	8.55	-0.05	7.65
1.882	0.01	8.55	-0.02	7.67
1.905	0.01	8.56	0.04	7.73
1.927	0.00	8.55	-0.07	7.62
1.950	0.01	8.55	0.04	7.73
1.973	0.00	8.55	-0.07	7.62
2.002	0.01	8.56	-0.05	7.65
2.025	0.01	8.56	-0.02	7.67
2.047	-0.00	8.54	0.04	7.73
2.070	0.01	8.55	-0.07	7.62
2.092	0.01	8.55	0.03	7.73
2.115	0.01	8.55	-0.05	7.65
2.138	0.01	8.56	-0.02	7.68
2.160	0.01	8.55	0.04	7.73
2.183	0.01	8.55	-0.07	7.63
2.206	0.00	8.55	0.03	7.73
2.228	0.01	8.55	-0.05	7.64
2.251	0.01	8.56	-0.01	7.68
2.274	0.01	8.55	0.04	7.73
2.296	0.01	8.55	-0.07	7.62
2.319	0.01	8.55	0.04	7.73
2.341	0.01	8.55	-0.05	7.64
2.364	0.01	8.56	-0.01	7.69
2.387	0.01	8.56	0.04	7.73
2.409	0.01	8.55	-0.07	7.62
2.432	0.01	8.55	0.04	7.73
2.455	0.00	8.55	-0.05	7.65
2.477	0.01	8.56	-0.00	7.69
2.500	0.01	8.55	0.03	7.73
2.523	0.01	8.55	-0.07	7.62
