Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
0.067	-0.00	8.33	-0.02	7.63
0.156	-0.01	8.32	-0.09	7.55
0.249	-0.00	8.33	0.04	7.68
0.346	0.00	8.33	0.07	7.71
0.435	-0.00	8.33	-0.04	7.60
0.525	-0.00	8.33	0.01	7.65
0.615	-0.00	8.33	0.05	7.69
0.705	-0.00	8.33	-0.09	7.56
0.795	0.00	8.33	0.06	7.71
0.885	0.00	8.33	-0.04	7.60
0.975	-0.01	8.33	0.01	7.65
1.065	-0.00	8.33	0.06	7.70
1.155	0.00	8.33	-0.09	7.56
1.245	-0.00	8.33	0.06	7.71
1.335	0.00	8.33	-0.04	7.60
1.425	0.00	8.33	0.01	7.65
1.515	-0.00	8.33	0.06	7.70
1.634	-0.02	8.32	-0.04	7.61
1.726	-0.00	8.33	0.03	7.67
1.816	-0.01	8.33	0.00	7.64
1.906	-0.00	8.33	-0.08	7.56
1.996	-0.00	8.33	0.08	7.72
2.086	0.10	8.43	-0.06	7.58
2.176	11.24	19.58	0.03	7.67
2.266	24.10	32.43	0.01	7.65
2.356	31.28	39.61	-0.07	7.57
2.446	33.72	42.05	0.08	7.73
2.536	29.02	37.35	-0.07	7.58
2.626	22.08	30.41	0.03	7.67
2.716	22.27	30.60	0.01	7.65
2.806	25.05	33.38	-0.08	7.56
2.895	24.84	33.17	0.08	7.73
2.985	23.99	32.33	-0.06	7.58
3.075	22.30	30.63	0.02	7.67
3.165	19.58	27.92	0.01	7.65
3.255	16.98	25.31	-0.08	7.56
3.386	14.55	22.89	-0.08	7.57
3.475	21.60	29.93	0.03	7.67
3.565	29.32	37.65	0.01	7.65
3.655	33.66	41.99	-0.08	7.56
3.745	31.79	40.12	0.08	7.72
3.835	24.35	32.68	-0.06	7.58
3.925	21.36	29.69	0.03	7.67
4.015	24.58	32.91	0.01	7.66
4.105	25.29	33.63	-0.08	7.56
4.208	24.43	32.76	0.02	7.67
4.303	22.89	31.22	-0.08	7.56
4.393	20.16	28.49	0.06	7.70
4.483	17.47	25.80	-0.04	7.60
4.579	14.60	22.93	0.07	7.72
4.673	17.44	25.77	-0.01	7.64
4.763	25.87	34.20	0.07	7.71
4.853	31.88	40.21	-0.09	7.56
4.943	33.45	41.78	0.06	7.70
5.064	25.31	33.64	0.02	7.67
5.163	21.24	29.58	0.07	7.72
5.254	24.53	32.86	-0.08	7.56
5.356	25.26	33.59	-0.00	7.64
5.453	24.20	32.53	-0.09	7.56
5.543	22.90	31.23	0.06	7.70
5.633	20.19	28.53	-0.04	7.60
5.723	17.49	25.82	-0.02	7.63
5.813	14.80	23.13	0.07	7.71
5.902	16.31	24.65	-0.09	7.55
5.992	24.52	32.85	0.06	7.70
6.082	31.43	39.76	-0.03	7.61
6.172	33.90	42.23	-0.02	7.63
6.262	29.24	37.57	0.07	7.71
6.352	22.44	30.78	-0.09	7.55
6.442	22.41	30.74	0.05	7.69
6.532	25.23	33.56	-0.03	7.61
6.622	25.10	33.43	-0.02	7.62
6.741	23.80	32.13	0.04	7.69
6.833	21.44	29.77	-0.06	7.59
6.923	18.74	27.07	0.02	7.66
7.013	16.11	24.44	0.03	7.67
7.103	14.41	22.74	-0.08	7.56
7.193	20.73	29.06	0.08	7.72
7.283	28.59	36.92	-0.05	7.59
7.373	33.38	41.72	0.02	7.66
7.463	32.38	40.71	0.03	7.67
7.553	25.22	33.55	-0.08	7.56
7.643	21.21	29.54	0.07	7.72
7.733	24.32	32.65	-0.06	7.59
7.823	25.23	33.56	0.02	7.66
7.913	24.34	32.67	0.03	7.67
8.003	23.51	31.84	-0.08	7.56
8.093	20.94	29.27	0.07	7.72
8.182	18.32	26.65	-0.05	7.59
8.272	15.55	23.88	0.02	7.66
8.418	18.94	27.27	-0.08	7.56
8.515	27.88	36.21	-0.04	7.60
8.611	33.19	41.52	0.07	7.72
8.701	32.51	40.84	-0.08	7.56
8.795	25.23	33.56	0.05	7.69
8.891	21.16	29.49	0.05	7.70
8.981	24.52	32.85	-0.03	7.61
9.076	25.38	33.71	0.08	7.72
9.171	24.46	32.79	-0.02	7.62
9.261	23.21	31.54	0.07	7.71
9.351	20.48	28.81	-0.09	7.56
9.440	17.59	25.93	0.05	7.69
9.530	15.01	23.34	-0.03	7.61
9.620	15.52	23.85	-0.02	7.62
9.710	23.78	32.11	0.06	7.71
9.800	30.46	38.79	-0.08	7.56
9.890	33.82	42.15	0.05	7.69
9.980	29.92	38.25	-0.03	7.61
10.076	22.58	30.91	0.07	7.71
10.170	22.39	30.72	-0.02	7.62
10.260	25.20	33.53	0.07	7.71
10.350	25.06	33.40	-0.07	7.57
10.440	24.19	32.52	0.05	7.69
10.531	22.38	30.71	-0.06	7.59
10.633	19.15	27.49	-0.08	7.57
10.730	16.36	24.69	-0.03	7.61
10.820	14.38	22.72	-0.02	7.63
10.910	19.57	27.90	0.07	7.71
11.000	27.83	36.16	-0.07	7.57
11.090	32.93	41.26	0.05	7.70
11.179	32.90	41.23	-0.03	7.61
11.269	25.99	34.32	-0.02	7.63
11.359	21.12	29.45	0.07	7.71
11.449	23.96	32.29	-0.07	7.57
11.539	25.38	33.71	0.05	7.69
11.629	24.62	32.95	-0.03	7.61
11.719	23.61	31.94	-0.01	7.63
11.809	21.33	29.66	0.06	7.71
11.899	18.69	27.02	-0.07	7.57
11.989	16.01	24.34	0.05	7.69
12.079	14.53	22.86	-0.03	7.61
12.169	21.19	29.52	-0.01	7.64
12.259	29.13	37.46	0.07	7.71
12.349	33.61	41.94	-0.07	7.57
12.439	31.99	40.33	0.05	7.69
12.529	24.71	33.04	-0.03	7.61
12.619	21.39	29.72	-0.01	7.63
12.709	24.57	32.90	0.06	7.70
12.799	25.31	33.64	-0.08	7.57
12.888	24.54	32.87	0.05	7.69
12.978	23.42	31.75	-0.04	7.60
13.068	20.92	29.25	-0.00	7.64
13.158	18.14	26.48	0.06	7.70
13.256	15.23	23.56	0.07	7.71
13.348	15.59	23.93	-0.08	7.57
13.438	23.73	32.06	0.05	7.70
13.534	30.95	39.28	-0.03	7.61
13.628	33.75	42.08	-0.04	7.60
13.718	29.21	37.54	-0.00	7.64
13.808	22.34	30.68	0.06	7.70
13.898	22.43	30.77	-0.08	7.57
13.988	25.17	33.50	0.05	7.70
14.078	25.18	33.51	-0.04	7.60
14.168	24.19	32.52	0.00	7.64
14.258	22.49	30.82	0.06	7.70
14.348	19.79	28.12	-0.08	7.57
14.438	17.15	25.48	0.05	7.70
14.528	14.70	23.03	-0.04	7.60
14.618	17.77	26.10	-0.00	7.64
14.707	26.07	34.40	0.06	7.70
14.797	32.29	40.62	-0.07	7.57
14.887	33.66	41.99	0.06	7.70
14.977	27.71	36.05	-0.04	7.60
15.067	21.84	30.17	0.00	7.65
15.157	23.16	31.49	0.06	7.70
15.247	25.37	33.70	-0.08	7.57
15.337	25.01	33.34	0.06	7.70
15.427	23.97	32.30	-0.04	7.60
15.517	21.91	30.24	-0.00	7.64
15.607	19.33	27.66	0.05	7.69
15.698	16.42	24.75	-0.07	7.57
15.788	14.40	22.73	0.07	7.72
15.890	20.69	29.03	0.05	7.69
15.987	29.10	37.43	0.06	7.70
16.077	33.61	41.94	-0.04	7.61
16.167	32.00	40.33	0.00	7.64
16.257	24.87	33.20	0.05	7.70
16.347	21.43	29.77	-0.07	7.57
16.436	24.53	32.86	0.06	7.70
16.526	25.30	33.64	-0.04	7.60
16.616	24.52	32.85	0.00	7.65
16.706	23.49	31.82	0.05	7.70
16.796	20.86	29.19	-0.08	7.57
16.886	18.25	26.59	0.06	7.70
16.976	15.72	24.05	-0.04	7.60
17.066	15.19	23.52	0.00	7.65
17.156	22.90	31.23	0.06	7.70
17.246	30.17	38.50	-0.08	7.57
17.336	33.85	42.18	0.06	7.70
17.426	30.82	39.15	-0.04	7.60
17.516	23.73	32.07	-0.00	7.64
17.606	21.73	30.06	0.06	7.70
17.700	25.07	33.40	0.02	7.67
